title,article_link,category,date,page
Hoaks! Rusia tarik pasukan dari Ukraina berkat Presiden Jokowi,https://www.antaranews.com/berita/2722517/hoaks-rusia-tarik-pasukan-dari-ukraina-berkat-presiden-jokowi,Dunia, 23 Februari 2022 22:34,2
Hoaks! Anies resmi ditahan KPK,https://www.antaranews.com/berita/2721769/hoaks-anies-resmi-ditahan-kpk,Metro, 23 Februari 2022 17:26,2
Hoaks! Video pasien meninggal 15 menit setelah divaksin,https://www.antaranews.com/berita/2718417/hoaks-video-pasien-meninggal-15-menit-setelah-divaksin,Humaniora, 22 Februari 2022 11:31,2
Hoaks! Bantuan minyak goreng gratis di setiap kelurahan pada akhir Februari 2022,https://www.antaranews.com/berita/2717501/hoaks-bantuan-minyak-goreng-gratis-di-setiap-kelurahan-pada-akhir-februari-2022,Ekonomi, 21 Februari 2022 20:26,2
Hoaks! Pandemi COVID-19 disebabkan oleh polusi udara,https://www.antaranews.com/berita/2717041/hoaks-pandemi-covid-19-disebabkan-oleh-polusi-udara,Metro, 21 Februari 2022 17:46,2
Disinformasi! Omicron di Jakarta disebar lewat chemtrail,https://www.antaranews.com/berita/2713717/disinformasi-omicron-di-jakarta-disebar-lewat-chemtrail,Metro, 19 Februari 2022 13:43,2
Disinformasi! Antibodi COVID-19 sebabkan ASI berubah warna,https://www.antaranews.com/berita/2711605/disinformasi-antibodi-covid-19-sebabkan-asi-berubah-warna,Lifestyle, 18 Februari 2022 11:12,2
Hoaks! Jokowi kembali diangkat sebagai Presiden pada 2024,https://www.antaranews.com/berita/2711601/hoaks-jokowi-kembali-diangkat-sebagai-presiden-pada-2024,Politik, 18 Februari 2022 11:10,2
Disinformasi! Deteksi virus Corona dengan tahan napas 10 detik,https://www.antaranews.com/berita/2709545/disinformasi-deteksi-virus-corona-dengan-tahan-napas-10-detik,Humaniora, 17 Februari 2022 13:53,2
"Misinformasi! Nasi yang terlalu lama disimpan di ""magic com"" berubah jadi racun",https://www.antaranews.com/berita/2709537/misinformasi-nasi-yang-terlalu-lama-disimpan-di-magic-com-berubah-jadi-racun,Lifestyle, 17 Februari 2022 13:51,2
Hoaks! Garam dan air kelapa muda hilangkan vaksin dalam tubuh,https://www.antaranews.com/berita/2704753/hoaks-garam-dan-air-kelapa-muda-hilangkan-vaksin-dalam-tubuh,Lifestyle, 15 Februari 2022 14:09,3
"Hoaks! Pasien COVID-19 dinyatakan sembuh Jika ""CT value"" di atas 30",https://www.antaranews.com/berita/2704365/hoaks-pasien-covid-19-dinyatakan-sembuh-jika-ct-value-di-atas-30,Humaniora, 15 Februari 2022 11:30,3
Hoaks! BPJS dinonaktifkan jika tidak digunakan selama setahun,https://www.antaranews.com/berita/2703613/hoaks-bpjs-dinonaktifkan-jika-tidak-digunakan-selama-setahun,Humaniora, 14 Februari 2022 20:27,3
Hoaks! Sultan Yogyakarta sebut COVID-19 sandiwara bermotif bisnis,https://www.antaranews.com/berita/2698397/hoaks-sultan-yogyakarta-sebut-covid-19-sandiwara-bermotif-bisnis,Politik, 11 Februari 2022 15:45,3
Disinformasi! Vaksin booster mengubah manusia menjadi zombie,https://www.antaranews.com/berita/2698117/disinformasi-vaksin-booster-mengubah-manusia-menjadi-zombie,Dunia, 11 Februari 2022 13:53,3
Disinformasi! Obat di rumah sakit menyebabkan kematian dan merupakan program genosida,https://www.antaranews.com/berita/2695517/disinformasi-obat-di-rumah-sakit-menyebabkan-kematian-dan-merupakan-program-genosida,Dunia, 10 Februari 2022 12:06,3
Hoaks! Jus daun pepaya dan jahe sembuhkan Omicron,https://www.antaranews.com/berita/2694329/hoaks-jus-daun-pepaya-dan-jahe-sembuhkan-omicron,Lifestyle, 9 Februari 2022 19:56,3
Misinfomasi! Petugas suntik paksa vaksin ke masyarakat,https://www.antaranews.com/berita/2689793/misinfomasi-petugas-suntik-paksa-vaksin-ke-masyarakat,Hukum, 7 Februari 2022 21:58,3
Hoaks! Ledakan kasus COVID-19 di Jawa Timur,https://www.antaranews.com/berita/2689005/hoaks-ledakan-kasus-covid-19-di-jawa-timur,Humaniora, 7 Februari 2022 17:05,3
Disinformasi! MUI meraup triliunan rupiah dari sertifikasi halal,https://www.antaranews.com/berita/2684477/disinformasi-mui-meraup-triliunan-rupiah-dari-sertifikasi-halal,Humaniora, 4 Februari 2022 17:30,3
Hoaks! Paus Yohanes II masuk Islam pada 2022,https://www.antaranews.com/berita/2683497/hoaks-paus-yohanes-ii-masuk-islam-pada-2022,Dunia, 4 Februari 2022 11:14,4
Hoaks! Turki hingga Singapura resmi membatalkan prosedur karantina dan vaksin,https://www.antaranews.com/berita/2681797/hoaks-turki-hingga-singapura-resmi-membatalkan-prosedur-karantina-dan-vaksin,Dunia, 3 Februari 2022 15:17,4
Hoaks! Jokowi hadiri perayaan Imlek 2022 tanpa masker,https://www.antaranews.com/berita/2680237/hoaks-jokowi-hadiri-perayaan-imlek-2022-tanpa-masker,Politik, 2 Februari 2022 19:36,4
Hoaks! Resep obat untuk pasien COVID-19 yang dirawat di rumah,https://www.antaranews.com/berita/2676273/hoaks-resep-obat-untuk-pasien-covid-19-yang-dirawat-di-rumah,Humaniora, 31 Januari 2022 18:50,4
Hoaks! Mahathir Mohamad meninggal,https://www.antaranews.com/berita/2676089/hoaks-mahathir-mohamad-meninggal,Dunia, 31 Januari 2022 17:43,4
Misinformasi! Vaksin kosong di Semarang,https://www.antaranews.com/berita/2675177/misinformasi-vaksin-kosong-di-semarang,Humaniora, 31 Januari 2022 11:50,4
Hoaks! Video tentara China menyamar dengan jaket Gojek,https://www.antaranews.com/berita/2671645/hoaks-video-tentara-china-menyamar-dengan-jaket-gojek,Politik, 28 Januari 2022 18:24,4
Hoaks! Minum kopi tanpa gula dapat mengatasi Omicron,https://www.antaranews.com/berita/2669893/hoaks-minum-kopi-tanpa-gula-dapat-mengatasi-omicron,Lifestyle, 27 Januari 2022 21:53,4
Hoaks! Inggris mengubah status pandemi menjadi endemi,https://www.antaranews.com/berita/2669877/hoaks-inggris-mengubah-status-pandemi-menjadi-endemi,Dunia, 27 Januari 2022 21:51,4
Hoaks! Akun WhatsApp mengatasnamakan Mendes PDTT Abdul Halim Iskandar,https://www.antaranews.com/berita/2669333/hoaks-akun-whatsapp-mengatasnamakan-mendes-pdtt-abdul-halim-iskandar,Politik, 27 Januari 2022 18:20,4
Hoaks! BMKG keluarkan peringatan dini gempa Selat Sunda,https://www.antaranews.com/berita/2665809/hoaks-bmkg-keluarkan-peringatan-dini-gempa-selat-sunda,Humaniora, 26 Januari 2022 12:49,5
Hoaks! Alat tes mandiri tidak berfungsi dan selalu tunjukkan positif COVID-19,https://www.antaranews.com/berita/2665009/hoaks-alat-tes-mandiri-tidak-berfungsi-dan-selalu-tunjukkan-positif-covid-19,Humaniora, 25 Januari 2022 22:00,5
Hoaks! Omicron sembuh dengan menghirup bubuk jahe,https://www.antaranews.com/berita/2663253/hoaks-omicron-sembuh-dengan-menghirup-bubuk-jahe,Lifestyle, 25 Januari 2022 11:24,5
Hoaks! Poster Haikal Hassan akan mengisi ceramah di Yonif Para Raider 502/UY,https://www.antaranews.com/berita/2662057/hoaks-poster-haikal-hassan-akan-mengisi-ceramah-di-yonif-para-raider-502-uy,Politik, 24 Januari 2022 19:04,5
Misinformasi! Kecelakaan maut Balikpapan tewaskan 21 orang,https://www.antaranews.com/berita/2658069/misinformasi-kecelakaan-maut-balikpapan-tewaskan-21-orang,Hukum, 21 Januari 2022 20:00,5
Hoaks! Video gempa Banten 14 Januari 2021,https://www.antaranews.com/berita/2657881/hoaks-video-gempa-banten-14-januari-2021,Humaniora, 21 Januari 2022 18:36,5
Hoaks! Tes usap menyebabkan kerusakan kelenjar pineal,https://www.antaranews.com/berita/2655829/hoaks-tes-usap-menyebabkan-kerusakan-kelenjar-pineal,Humaniora, 20 Januari 2022 20:14,5
"Misinformasi! Empat orang ""digulung"" tsunami Tonga dalam video TV Australia",https://www.antaranews.com/berita/2653997/misinformasi-empat-orang-digulung-tsunami-tonga-dalam-video-tv-australia,Dunia, 20 Januari 2022 08:40,5
Hoaks! Omicron berarti 'akhir zaman' dalam Bahasa Yunani,https://www.antaranews.com/berita/2652593/hoaks-omicron-berarti-akhir-zaman-dalam-bahasa-yunani,Dunia, 19 Januari 2022 16:03,5
Hoaks! Ketua Satgas kunjungi Israel bahas penanganan COVID-19,https://www.antaranews.com/berita/2650781/hoaks-ketua-satgas-kunjungi-israel-bahas-penanganan-covid-19,Humaniora, 18 Januari 2022 19:11,5
Hoaks! Pemda dan Polri menggelar razia STNK,https://www.antaranews.com/berita/2650429/hoaks-pemda-dan-polri-menggelar-razia-stnk,Hukum, 18 Januari 2022 17:17,6
Misinformasi! Guru pemerkosa 13 santri akan ditembak dalam jarak 5 meter di bagian jantung,https://www.antaranews.com/berita/2649561/misinformasi-guru-pemerkosa-13-santri-akan-ditembak-dalam-jarak-5-meter-di-bagian-jantung,Hukum, 18 Januari 2022 11:57,6
Hoaks! Video jembatan di Samarinda roboh saat diresmikan,https://www.antaranews.com/berita/2648029/hoaks-video-jembatan-di-samarinda-roboh-saat-diresmikan,Warta Bumi, 17 Januari 2022 16:57,6
Misinformasi! Vaksinasi COVID-19 dosis ketiga berbayar,https://www.antaranews.com/berita/2644877/misinformasi-vaksinasi-covid-19-dosis-ketiga-berbayar,Humaniora, 15 Januari 2022 11:28,6
Hoaks! RSCM mulai tinggalkan pasang ring guna tangani pasien jantung koroner,https://www.antaranews.com/berita/2642725/hoaks-rscm-mulai-tinggalkan-pasang-ring-guna-tangani-pasien-jantung-koroner,Humaniora, 14 Januari 2022 10:24,6
Hoaks! Ustaz Abdul Somad ditangkap-didakwa 10 tahun penjara,https://www.antaranews.com/berita/2641717/hoaks-ustaz-abdul-somad-ditangkap-didakwa-10-tahun-penjara,Hukum, 13 Januari 2022 19:09,6
Hoaks! Vaksinasi merupakan program genosida dan menyebabkan kemandulan,https://www.antaranews.com/berita/2640381/hoaks-vaksinasi-merupakan-program-genosida-dan-menyebabkan-kemandulan,Dunia, 13 Januari 2022 09:31,6
Hoaks! Facebook minta sertifikat vaksin COVID-19 untuk akses akun,https://www.antaranews.com/berita/2639601/hoaks-facebook-minta-sertifikat-vaksin-covid-19-untuk-akses-akun,Tekno, 12 Januari 2022 19:55,6
Hoaks! Pesawat Garuda Indonesia mendarat darurat di Iran,https://www.antaranews.com/berita/2638637/hoaks-pesawat-garuda-indonesia-mendarat-darurat-di-iran,Ekonomi, 12 Januari 2022 13:58,6
Hoaks! Tautan HUT Pertamina ke-55 berhadiah Rp2 juta,https://www.antaranews.com/berita/2637685/hoaks-tautan-hut-pertamina-ke-55-berhadiah-rp2-juta,Ekonomi, 11 Januari 2022 22:02,6
Hoaks! Bentuk Kartu Keluarga terbaru seukuran KTP,https://www.antaranews.com/berita/2634597/hoaks-bentuk-kartu-keluarga-terbaru-seukuran-ktp,Politik, 10 Januari 2022 17:56,7
Hoaks! Video burung garuda,https://www.antaranews.com/berita/2634589/hoaks-video-burung-garuda,Warta Bumi, 10 Januari 2022 17:54,7
Hoaks! Penerima vaksin COVID-19 lebih mudah terinfeksi Omicron dibandingkan nonvaksin,https://www.antaranews.com/berita/2631565/hoaks-penerima-vaksin-covid-19-lebih-mudah-terinfeksi-omicron-dibandingkan-nonvaksin,Lifestyle, 8 Januari 2022 15:50,7
Misinformasi! AirPods sebabkan kanker ganas,https://www.antaranews.com/berita/2629093/misinformasi-airpods-sebabkan-kanker-ganas,Tekno, 7 Januari 2022 07:05,7
Hoaks! Pasangan sesama jenis di Indonesia pamer buku nikah,https://www.antaranews.com/berita/2627029/hoaks-pasangan-sesama-jenis-di-indonesia-pamer-buku-nikah,Humaniora, 6 Januari 2022 10:02,7
Hoaks! Timor Leste kembali ke Indonesia,https://www.antaranews.com/berita/2625889/hoaks-timor-leste-kembali-ke-indonesia,Dunia, 5 Januari 2022 17:41,7
Misinformasi! Fenomena Aphelion berlangsung pada 4 Januari hingga Agustus,https://www.antaranews.com/berita/2623969/misinformasi-fenomena-aphelion-berlangsung-pada-4-januari-hingga-agustus,Warta Bumi, 4 Januari 2022 20:16,7
"Hoaks! Daftar penerima BLT UMKM Rp1,2 juta pada Januari",https://www.antaranews.com/berita/2623185/hoaks-daftar-penerima-blt-umkm-rp12-juta-pada-januari,Ekonomi, 4 Januari 2022 15:47,7
Hoaks! Foto rudal buatan Indonesia,https://www.antaranews.com/berita/2622321/hoaks-foto-rudal-buatan-indonesia,Politik, 4 Januari 2022 05:42,7
Misinformasi! Varian COVID-19 baru bernama Florona,https://www.antaranews.com/berita/2620869/misinformasi-varian-covid-19-baru-bernama-florona,Humaniora, 3 Januari 2022 14:23,7
Hoaks! Vaksin COVID-19 munculkan trauma pandemi,https://www.antaranews.com/berita/2619437/hoaks-vaksin-covid-19-munculkan-trauma-pandemi,Lifestyle, 2 Januari 2022 09:53,8
Hoaks! Thailand terkena diskualifikasi dalam Piala AFF karena doping,https://www.antaranews.com/berita/2617985/hoaks-thailand-terkena-diskualifikasi-dalam-piala-aff-karena-doping,Sepakbola, 31 Desember 2021 21:00,8
Misinformasi! Garuda Indonesia diakuisisi China Airlines,https://www.antaranews.com/berita/2614789/misinformasi-garuda-indonesia-diakuisisi-china-airlines,Ekonomi, 29 Desember 2021 22:06,8
Hoaks! Tautan pendaftaran bantuan COVID-19 bagi pemilik E-KTP,https://www.antaranews.com/berita/2612541/hoaks-tautan-pendaftaran-bantuan-covid-19-bagi-pemilik-e-ktp,Humaniora, 29 Desember 2021 10:11,8
Hoaks! Warga terperosok di sumur resapan Jakarta,https://www.antaranews.com/berita/2611761/hoaks-warga-terperosok-di-sumur-resapan-jakarta,Metro, 28 Desember 2021 19:56,8
Hoaks! Lonjakan protein dari vaksin COVID-19 merusak organ anak,https://www.antaranews.com/berita/2609953/hoaks-lonjakan-protein-dari-vaksin-covid-19-merusak-organ-anak,Humaniora, 27 Desember 2021 22:15,8
Hoaks! Pemesanan daring vaksin Sinopharm lewat lokapasar,https://www.antaranews.com/berita/2609649/hoaks-pemesanan-daring-vaksin-sinopharm-lewat-lokapasar,Tekno, 27 Desember 2021 19:58,8
Hoaks! Uang kertas pecahan Rp200 ribu,https://www.antaranews.com/berita/2605633/hoaks-uang-kertas-pecahan-rp200-ribu,Ekonomi, 24 Desember 2021 18:04,8
Hoaks! Harga setiap sumur resapan di Jakarta Rp80 juta,https://www.antaranews.com/berita/2605629/hoaks-harga-setiap-sumur-resapan-di-jakarta-rp80-juta,Metro, 24 Desember 2021 18:03,8
Hoaks! Imbauan penuhi tangki BBM kendaraan sebelum 29 Desember 2021,https://www.antaranews.com/berita/2603589/hoaks-imbauan-penuhi-tangki-bbm-kendaraan-sebelum-29-desember-2021,Ekonomi, 23 Desember 2021 19:41,8
Hoaks! COVID-19 merupakan rekayasa media,https://www.antaranews.com/berita/2602413/hoaks-covid-19-merupakan-rekayasa-media,Humaniora, 23 Desember 2021 11:49,9
Hoaks! Wapres Ma'ruf Amin ucapkan Natal dengan pakaian Sinterklas,https://www.antaranews.com/berita/2601185/hoaks-wapres-maruf-amin-ucapkan-natal-dengan-pakaian-sinterklas,Politik, 22 Desember 2021 18:24,9
Misinformasi! Daftar daerah di Indonesia yang akan tenggelam,https://www.antaranews.com/berita/2599997/misinformasi-daftar-daerah-di-indonesia-yang-akan-tenggelam,Warta Bumi, 22 Desember 2021 10:11,9
Hoaks! Ilmuwan Pfizer sarankan vaksin mingguan cegah karantina akibat Omicron,https://www.antaranews.com/berita/2597741/hoaks-ilmuwan-pfizer-sarankan-vaksin-mingguan-cegah-karantina-akibat-omicron,Lifestyle, 21 Desember 2021 09:35,9
Hoaks! Vaksin COVID-19 mengandung janin bayi,https://www.antaranews.com/berita/2597737/hoaks-vaksin-covid-19-mengandung-janin-bayi,Humaniora, 21 Desember 2021 09:33,9
Hoaks! NU gelar lomba meriahkan Natal 2021,https://www.antaranews.com/berita/2596953/hoaks-nu-gelar-lomba-meriahkan-natal-2021,Politik, 20 Desember 2021 19:17,9
Misinformasi! Virus corona saat ini seperti flu biasa,https://www.antaranews.com/berita/2592637/misinformasi-virus-corona-saat-ini-seperti-flu-biasa,Humaniora, 17 Desember 2021 20:52,9
Hoaks! Gagal jantung hingga strok adalah gejala Omicron,https://www.antaranews.com/berita/2590905/hoaks-gagal-jantung-hingga-strok-adalah-gejala-omicron,Lifestyle, 17 Desember 2021 08:14,9
Misinformasi! Gunung Welirang erupsi,https://www.antaranews.com/berita/2589897/misinformasi-gunung-welirang-erupsi,Warta Bumi, 16 Desember 2021 18:08,9
Hoaks! Lokasi Formula E di Jakarta sudah ditentukan,https://www.antaranews.com/berita/2586701/hoaks-lokasi-formula-e-di-jakarta-sudah-ditentukan,Metro, 15 Desember 2021 12:59,9
Hoaks! Sri Mulyani cekal Fadel Muhammad ke luar negeri,https://www.antaranews.com/berita/2585625/hoaks-sri-mulyani-cekal-fadel-muhammad-ke-luar-negeri,Ekonomi, 14 Desember 2021 20:29,10
Hoaks! Jerman pisahkan pengunjung divaksin dan nonvaksin dengan pagar,https://www.antaranews.com/berita/2583189/hoaks-jerman-pisahkan-pengunjung-divaksin-dan-nonvaksin-dengan-pagar,Lifestyle, 13 Desember 2021 20:55,10
Hoaks! Alat tes COVID-19 mengandung zat penyebab kanker,https://www.antaranews.com/berita/2581533/hoaks-alat-tes-covid-19-mengandung-zat-penyebab-kanker,Lifestyle, 13 Desember 2021 06:57,10
Hoaks! Rekrutmen BNI dengan syarat pembayaran tiket pesawat dan penginapan,https://www.antaranews.com/berita/2579249/hoaks-rekrutmen-bni-dengan-syarat-pembayaran-tiket-pesawat-dan-penginapan,Ekonomi, 11 Desember 2021 08:08,10
Hoaks! Penemu Pfizer tolak divaksin COVID-19,https://www.antaranews.com/berita/2578705/hoaks-penemu-pfizer-tolak-divaksin-covid-19,Humaniora, 10 Desember 2021 20:46,10
Hoaks! Rekaman Gunung Semeru sesaat sebelum erupsi,https://www.antaranews.com/berita/2576429/hoaks-rekaman-gunung-semeru-sesaat-sebelum-erupsi,Humaniora, 9 Desember 2021 21:22,10
Hoaks! Video-foto terkait erupsi Gunung Semeru,https://www.antaranews.com/berita/2574301/hoaks-video-foto-terkait-erupsi-gunung-semeru,Humaniora, 9 Desember 2021 07:17,10
Kabupaten Bekasi pastikan belum ada penularan Omicron di wilayahnya,https://www.antaranews.com/berita/2572821/kabupaten-bekasi-pastikan-belum-ada-penularan-omicron-di-wilayahnya,Humaniora, 8 Desember 2021 15:57,10
Hoaks! Video angin puting beliung di Merak Banten,https://www.antaranews.com/berita/2571973/hoaks-video-angin-puting-beliung-di-merak-banten,Humaniora, 8 Desember 2021 09:53,10
Misinformasi! Air laut di Merak Banten surut,https://www.antaranews.com/berita/2570581/misinformasi-air-laut-di-merak-banten-surut,Warta Bumi, 7 Desember 2021 17:34,10
Hoaks! COVID-19 varian Omicron muncul karena komplikasi percobaan obat,https://www.antaranews.com/berita/2569357/hoaks-covid-19-varian-omicron-muncul-karena-komplikasi-percobaan-obat,Humaniora, 7 Desember 2021 09:25,11
Hoaks! Imbauan AA Gym untuk memilih pemimpin koruptor tapi seagama,https://www.antaranews.com/berita/2568405/hoaks-imbauan-aa-gym-untuk-memilih-pemimpin-koruptor-tapi-seagama,Politik, 6 Desember 2021 19:42,11
Hoaks! Virus COVID-19 varian Omicron tidak terdeteksi pada tes PCR,https://www.antaranews.com/berita/2566805/hoaks-virus-covid-19-varian-omicron-tidak-terdeteksi-pada-tes-pcr,Humaniora, 6 Desember 2021 08:13,11
Hoaks! Indonesia beri kesempatan warga negara China jadi PNS,https://www.antaranews.com/berita/2563633/hoaks-indonesia-beri-kesempatan-warga-negara-china-jadi-pns,Politik, 3 Desember 2021 22:02,11
Hoaks! Booster COVID-19 akibatkan pejabat kesehatan Bulgaria meninggal,https://www.antaranews.com/berita/2562337/hoaks-booster-covid-19-akibatkan-pejabat-kesehatan-bulgaria-meninggal,Dunia, 3 Desember 2021 13:43,11
Hoaks! Amerika Serikat tolak vaksin booster Pfizer karena timbulkan infeksi hati,https://www.antaranews.com/berita/2560905/hoaks-amerika-serikat-tolak-vaksin-booster-pfizer-karena-timbulkan-infeksi-hati,Humaniora, 2 Desember 2021 19:40,11
Hoaks! PNS bakal dihilangkan 10 tahun lagi,https://www.antaranews.com/berita/2559721/hoaks-pns-bakal-dihilangkan-10-tahun-lagi,Politik, 2 Desember 2021 10:00,11
Misinformasi! Sakit kepala reda dengan menaruh bawang putih di telinga,https://www.antaranews.com/berita/2558189/misinformasi-sakit-kepala-reda-dengan-menaruh-bawang-putih-di-telinga,Lifestyle, 1 Desember 2021 16:44,11
Hoaks! Megawati-Prabowo sepakat usung Ganjar,https://www.antaranews.com/berita/2556137/hoaks-megawati-prabowo-sepakat-usung-ganjar,Politik, 30 November 2021 19:43,11
Hoaks! Varian Omicron sudah ada sejak Juli 2021,https://www.antaranews.com/berita/2553885/hoaks-varian-omicron-sudah-ada-sejak-juli-2021,Dunia, 29 November 2021 20:11,11
Hoaks! KPK temukan aliran dana hibah Rp10 miliar di kediaman Anies Baswedan,https://www.antaranews.com/berita/2553617/hoaks-kpk-temukan-aliran-dana-hibah-rp10-miliar-di-kediaman-anies-baswedan,Hukum, 29 November 2021 18:36,12
Hoaks! Sperma orang yang tidak divaksin COVID-19 sangat berharga,https://www.antaranews.com/berita/2549885/hoaks-sperma-orang-yang-tidak-divaksin-covid-19-sangat-berharga,Lifestyle, 27 November 2021 11:03,12
Hoaks! Aliansi Dokter Dunia nyatakan COVID-19 varian Delta tidak pernah ada,https://www.antaranews.com/berita/2549209/hoaks-aliansi-dokter-dunia-nyatakan-covid-19-varian-delta-tidak-pernah-ada,Dunia, 26 November 2021 20:25,12
Hoaks! Jalur wisata Gunung Bromo amblas,https://www.antaranews.com/berita/2547233/hoaks-jalur-wisata-gunung-bromo-amblas,Humaniora, 25 November 2021 21:10,12
Hoaks! Alat test PCR sudah menarget pasien dengan hasil positif dan negatif,https://www.antaranews.com/berita/2547213/hoaks-alat-test-pcr-sudah-menarget-pasien-dengan-hasil-positif-dan-negatif,Humaniora, 25 November 2021 21:06,12
Hoaks! Tubuh mengandung bluetooth dan bisa dilacak setelah vaksin,https://www.antaranews.com/berita/2545377/hoaks-tubuh-mengandung-bluetooth-dan-bisa-dilacak-setelah-vaksin,Tekno, 25 November 2021 08:36,12
Hoaks! Billie Eilish lahir di Nganjuk,https://www.antaranews.com/berita/2543481/hoaks-billie-eilish-lahir-di-nganjuk,Hiburan, 24 November 2021 12:48,12
Hoaks! Pebalap di Sirkuit Mandalika berenang setelah perlombaan,https://www.antaranews.com/berita/2542041/hoaks-pebalap-di-sirkuit-mandalika-berenang-setelah-perlombaan,Olahraga, 23 November 2021 19:24,12
"Hoaks! Video ""chemtrails"" di Depok, Cirebon, Sumedang, hingga Aceh",https://www.antaranews.com/berita/2540377/hoaks-video-chemtrails-di-depok-cirebon-sumedang-hingga-aceh,Warta Bumi, 23 November 2021 07:23,12
Hoaks! Jokowi pilih Ahok jadi plt Gubernur DKI Jakarta,https://www.antaranews.com/berita/2539641/hoaks-jokowi-pilih-ahok-jadi-plt-gubernur-dki-jakarta,Politik, 22 November 2021 19:24,12
Hoaks! Varian delta berasal dari vaksin COVID-19,https://www.antaranews.com/berita/2537485/hoaks-varian-delta-berasal-dari-vaksin-covid-19,Humaniora, 21 November 2021 18:46,13
Hoaks! Jepang gunakan Ivermectin dan tinggalkan vaksin COVID-19,https://www.antaranews.com/berita/2536821/hoaks-jepang-gunakan-ivermectin-dan-tinggalkan-vaksin-covid-19,Dunia, 21 November 2021 09:19,13
Hoaks! Robot akan vaksinasi COVID-19 secara paksa kepada manusia,https://www.antaranews.com/berita/2534961/hoaks-robot-akan-vaksinasi-covid-19-secara-paksa-kepada-manusia,Tekno, 19 November 2021 20:38,13
Hoaks! Istri CEO Pfizer meninggal karena vaksin COVID-19,https://www.antaranews.com/berita/2532245/hoaks-istri-ceo-pfizer-meninggal-karena-vaksin-covid-19,Dunia, 18 November 2021 18:48,13
Misinformasi! Sayur pakis menyebabkan kanker lambung,https://www.antaranews.com/berita/2530901/misinformasi-sayur-pakis-menyebabkan-kanker-lambung,Lifestyle, 18 November 2021 10:04,13
Hoaks! Anies ikut uji coba di Sirkuit Formula E,https://www.antaranews.com/berita/2527689/hoaks-anies-ikut-uji-coba-di-sirkuit-formula-e,Metro, 16 November 2021 21:24,13
Hoaks! Kelangkaan BBM akibat kebakaran kilang Pertamina di Cilacap,https://www.antaranews.com/berita/2526065/hoaks-kelangkaan-bbm-akibat-kebakaran-kilang-pertamina-di-cilacap,Ekonomi, 16 November 2021 11:40,13
Misinformasi! Pfizer tambahkan zat penguat jantung dalam vaksin untuk anak,https://www.antaranews.com/berita/2523165/misinformasi-pfizer-tambahkan-zat-penguat-jantung-dalam-vaksin-untuk-anak,Humaniora, 14 November 2021 20:34,13
Hoaks! Burung berbahaya sebabkan kebakaran hutan di Australia,https://www.antaranews.com/berita/2522197/hoaks-burung-berbahaya-sebabkan-kebakaran-hutan-di-australia,Warta Bumi, 13 November 2021 22:02,13
Hoaks! Foto petugas menyiram tanaman saat hujan di Jakarta,https://www.antaranews.com/berita/2521261/hoaks-foto-petugas-menyiram-tanaman-saat-hujan-di-jakarta,Metro, 13 November 2021 10:33,13
Makan petai bisa sembuhkan sakit pinggang? Cek faktanya!,https://www.antaranews.com/berita/2520041/makan-petai-bisa-sembuhkan-sakit-pinggang-cek-faktanya,Lifestyle, 12 November 2021 18:27,14
